읍면동명,자치구,소득(동별),인구밀도,사업체수,장애등급,독거노인수,노령화지수
광장동,광진구,586429.9868870083,15192,1419,731,499,50.8
군자동,광진구,358892.5585862946,29769,1580,790,647,161.4
구의1동,광진구,374841.8981964885,41575,1846,833,591,169.6
구의3동,광진구,489161.70741467725,29878,2652,818,658,105.7
자양1동,광진구,392720.0705440942,42940,1711,902,937,148.6
자양2동,광진구,439368.6471682182,16330,1487,975,585,118.4
자양3동,광진구,479404.08297835954,25110,1353,867,550,85.3
자양4동,광진구,378764.3983851744,20736,1996,929,832,221.7
화양동,광진구,412057.0239536077,21383,2437,549,508,259.4
고척1동,구로구,660824.2226599978,21258,2590,1116,686,141.6
고척2동,구로구,789382.0490417187,28964,1407,1300,889,128.2
개봉1동,구로구,929691.2467727634,26456,1704,1626,1187,153.3
개봉2동,구로구,909316.7626509038,42144,1170,1436,802,134.8
개봉3동,구로구,603237.0625986131,27353,990,979,635,146.9
오류1동,구로구,626331.7715698534,38392,1125,1075,663,173.8
오류2동,구로구,1402738.3480800274,9869,1575,2120,1050,96.4
수궁동,구로구,680056.2123451176,9536,1266,1241,724,127.0
신도림동,구로구,1017146.4756803457,25588,2864,947,496,70.1
구로1동,구로구,601713.7366829601,21481,736,529,274,64.6
구로2동,구로구,965162.9788086849,20619,7816,1453,1274,202.4
구로3동,구로구,719771.4951460727,26445,7227,905,576,117.1
구로4동,구로구,720968.3940797999,59054,2042,1189,955,197.8
구로5동,구로구,916443.7517562804,33092,4907,1104,781,127.7
가리봉동,구로구,422124.49212686147,40515,986,583,701,244.7
가산동,금천구,1453629.0086131894,9706,14339,732,642,162.9
독산1동,금천구,2582970.041879557,20012,4085,1926,980,114.3
독산2동,금천구,1281842.4233196771,36838,1194,958,835,159.7
독산3동,금천구,1789191.4057927455,33372,2174,1205,1028,176.5
독산4동,금천구,1094449.6646471675,31824,1018,796,582,165.7
시흥1동,금천구,2197562.8323868583,21683,3023,1665,1422,148.8
