읍면동명,자치구,새누리당,더불어민주당,소득(동별),인구밀도,사업체수,장애등급,독거노인수,노령화지수
송천동,강북구,4798.473809015711,3344.3,257404.5352732993,33544.0,2106.0,1564.0,1656.0,247.8
삼각산동,강북구,4327.901444354177,2908.3,294700.6370428628,54071.0,775.0,1269.0,849.0,70.6
번3동,강북구,3959.5204504947606,2538.9,164765.2564687377,22055.0,912.0,2019.0,1012.0,237.2
화곡1동,강서구,3946.7211126212524,2851.0,978373.0329868052,48828.0,3104.0,2113.0,1378.0,157.6
화곡2동,강서구,2804.1461200738895,1582.3,351674.6578035453,42640.0,848.0,780.0,434.0,107.7
화곡3동,강서구,3007.1206193306825,1448.5,406121.1591363455,44569.0,1212.0,839.0,613.0,153.5
화곡8동,강서구,4043.372201961173,2989.3,475811.9651472744,50628.0,1259.0,1075.0,623.0,146.9
우장산동,강서구,4536.11391590213,3052.1,810614.112021858,34121.0,1684.0,1294.0,761.0,71.1
발산1동,강서구,4871.762384034089,2297.7,689912.1409436226,13135.0,2340.0,1468.0,603.0,62.5
염창동,강서구,4150.674606286767,3903.1,760032.3639877382,23572.0,2126.0,1070.0,421.0,54.2
등촌1동,강서구,2938.9592724170247,1057.6,424407.16779954685,39929.0,1892.0,733.0,543.0,116.0
등촌2동,강서구,2804.1461200738895,2294.4,392236.675063308,24041.0,737.0,723.0,347.0,119.1
화곡본동,강서구,4447.395936557304,2310.3,645270.661868586,32784.0,1356.0,1439.0,745.0,104.9
화곡4동,강서구,3727.286365367276,2741.0,396763.4462881513,27676.0,1482.0,954.0,712.0,154.9
화곡6동,강서구,3834.58876969287,3044.1,446056.9432227109,22179.0,1846.0,978.0,553.0,144.2
가양3동,강서구,4557.20690758265,2247.5,291234.2103825137,16683.0,907.0,1669.0,791.0,263.1
등촌3동,강서구,4526.827459930849,2373.5,585349.0933626549,42125.0,2657.0,3901.0,1934.0,194.6
가양1동,강서구,2800.384842331711,1511.2,611901.3799147008,7140.0,3512.0,818.0,321.0,86.9
가양2동,강서구,4211.015823904493,1318.3,273771.2510329201,15763.0,595.0,2462.0,1028.0,422.9
공항동,강서구,4093.4438502162484,3920.5,506998.37718246033,2635.0,2096.0,1094.0,1317.0,93.7
방화1동,강서구,4532.156977102782,2851.0,820311.7800213249,44574.0,2677.0,1787.0,911.0,78.5
방화2동,강서구,4316.98674439675,2510.3,433049.1855924297,3805.0,3318.0,1614.0,1018.0,202.3
방화3동,강서구,3959.5204504947606,2538.9,439830.39624150336,10467.0,908.0,1999.0,1173.0,175.1
보라매동,관악구,3986.1414458906547,2989.3,275025.7598821432,34734.0,1407.0,1108.0,881.0,176.3
은천동,관악구,3367.321946899,3655.5,365886.900652559,45894.0,1640.0,1719.0,1127.0,129.8
성현동,관악구,4564.88539054971,1967.1,333095.68482728244,48578.0,877.0,1525.0,1135.0,129.4
중앙동,관악구,2056.8260262994113,2494.3,162637.01073366244,40297.0,1028.0,597.0,589.0,280.1
청림동,관악구,2861.089425063757,2959.2,168294.57751181355,55090.0,446.0,679.0,601.0,115.3
행운동,관악구,3986.1414458906547,3256.8,312000.8957655788,42275.0,1480.0,1097.0,947.0,185.9
청룡동,관악구,3444.0108198282455,2685.4,346327.589641756,25629.0,1856.0,921.0,939.0,203.9
낙성대동,관악구,2012.1535046199606,2286.3,182773.4141662804,7833.0,1323.0,475.0,493.0,142.9
인헌동,관악구,3347.531420263455,2183.8,280302.03345302364,25271.0,1025.0,901.0,722.0,157.2
남현동,관악구,1858.9491222045415,2441.7,196128.9816425716,5810.0,846.0,566.0,421.0,150.8
신림동,관악구,2124.374571664971,2092.0,232630.07732237337,41215.0,1659.0,541.0,508.0,261.6
조원동,관악구,3012.247847435403,1425.1,202714.01838435399,29588.0,2215.0,736.0,607.0,171.5
미성동,관악구,4447.395936557304,2441.5,339340.6492490668,24127.0,1598.0,1405.0,1031.0,154.4
