읍면동명,자치구,새누리당,더불어민주당,국민의당,독거노인수,노령화지수,사업체수,장애등급,인구밀도,소득(동별)
화곡6동,강서구,4456.0,4642,2235.0,553.0,102.4,1850,950.0,23033,446056.9432227109
가양3동,강서구,3064.0,3758,1786.0,781.0,195.3,933,1637.0,17464,291234.2103825137
등촌3동,강서구,7865.0,6937,2524.0,1652.0,154.7,2627,3821.0,44256,585349.0933626549
가양1동,강서구,5580.0,4979,1640.0,334.0,70.6,1809,774.0,5861,611901.3799147008
가양2동,강서구,4295.0,3203,1304.0,997.0,329.5,640,2399.0,16432,273771.2510329201
공항동,강서구,3815.0,3226,1516.0,1308.0,98.3,1973,1014.0,2269,506998.37718246033
방화1동,강서구,9528.0,8315,2912.0,906.0,67.6,2879,1734.0,44504,820311.7800213249
방화2동,강서구,5492.0,3817,1818.0,1001.0,166.5,2932,1613.0,3906,433049.1855924297
방화3동,강서구,6548.0,5084,1807.0,1065.0,141.6,932,1997.0,10832,439830.39624150336
보라매동,관악구,2920.0,3972,4433.0,846.0,142.9,1397,1090.0,35064,275025.7598821432
은천동,관악구,3429.0,5851,7077.0,1048.0,106.7,1596,1643.0,46296,365886.900652559
성현동,관악구,3505.0,5679,7182.0,1079.0,105.9,880,1523.0,50022,333095.68482728244
중앙동,관악구,1244.0,2597,2974.0,552.0,218.6,1086,618.0,39405,162637.01073366244
청림동,관악구,1883.0,3138,3520.0,584.0,98.4,443,690.0,56580,168294.57751181355
행운동,관악구,2891.0,6117,5658.0,912.0,155.6,1464,1136.0,42469,312000.8957655788
청룡동,관악구,2496.0,5283,5411.0,933.0,165.5,1866,977.0,25069,346327.589641756
낙성대동,관악구,1487.0,3584,3422.0,481.0,121.5,1265,521.0,8023,182773.4141662804
인헌동,관악구,2781.0,5143,5368.0,704.0,123.1,1047,906.0,25930,280302.03345302364
남현동,관악구,2231.0,3285,3191.0,396.0,119.4,874,566.0,5805,196128.9816425716
신림동,관악구,1701.0,3963,2957.0,475.0,210.3,1623,566.0,39520,232630.07732237337
조원동,관악구,3054.0,2920,2213.0,559.0,144.5,2184,719.0,30467,202714.01838435399
미성동,관악구,6670.0,4765,4095.0,972.0,127.9,1625,1355.0,24351,339340.6492490668
난곡동,관악구,5665.0,3966,3496.0,1121.0,153.7,959,1539.0,31811,300634.23610018595
난향동,관악구,3177.0,2803,1966.0,476.0,92.3,420,697.0,21266,169376.6258027168
서원동,관악구,3555.0,4371,2488.0,613.0,195.2,1296,827.0,36882,248304.3197077428
신원동,관악구,3167.0,3237,1962.0,697.0,180.6,851,835.0,36858,204991.47240615977
서림동,관악구,4112.0,4934,2466.0,636.0,162.9,1316,859.0,25732,252323.35621681192
삼성동,관악구,5768.0,4798,3108.0,1325.0,210.2,1062,1473.0,10326,262309.1161585759
대학동,관악구,3899.0,5199,2326.0,545.0,164.9,1701,678.0,2941,253539.37239135074
중곡1동,광진구,2689.0,2843,1592.0,485.0,151.5,1639,683.0,26358,266146.5004058783
중곡2동,광진구,3641.0,4091,2045.0,480.0,110.2,1660,871.0,41595,366883.4370698572
중곡3동,광진구,3053.0,2900,1662.0,534.0,138.9,1347,748.0,29933,283522.2037210489
중곡4동,광진구,5555.0,5648,2960.0,842.0,128.2,1545,1348.0,13701,495353.4225885535
능동,광진구,1872.0,2493,1046.0,260.0,130.4,758,364.0,10589,192348.3873518001
구의2동,광진구,4374.0,4337,2329.0,669.0,106.4,1251,1044.0,18625,454361.67474893905
광장동,광진구,6682.0,6649,2872.0,493.0,44.8,1402,708.0,15319,586429.9868870083
군자동,광진구,3401.0,4016,1894.0,574.0,134.4,1609,774.0,29795,358892.5585862946
구의1동,광진구,3512.0,5316,1638.0,580.0,142.6,1900,792.0,41763,374841.8981964885
구의3동,광진구,5955.0,7158,1912.0,608.0,92.3,2636,775.0,29205,489161.70741467725
자양1동,광진구,3931.0,5169,1527.0,681.0,128.3,1736,880.0,42019,392720.0705440942
자양2동,광진구,4860.0,5877,1827.0,532.0,94.0,1524,973.0,16388,439368.6471682182
자양3동,광진구,6535.0,7244,1966.0,562.0,72.1,1356,777.0,25463,479404.08297835954
자양4동,광진구,4171.0,4583,1681.0,938.0,188.8,2058,1038.0,23476,378764.3983851744
화양동,광진구,2771.0,5220,1475.0,622.0,196.8,2474,581.0,21116,412057.0239536077
고척1동,구로구,4225.0,6520,1221.0,663.0,114.3,2629,1118.0,21872,660824.2226599978
고척2동,구로구,4575.0,7357,1559.0,850.0,104.9,1427,1233.0,29814,789382.0490417187
개봉1동,구로구,5721.0,8538,1864.0,1116.0,123.9,1756,1590.0,27392,929691.2467727634
개봉2동,구로구,5982.0,9346,2015.0,815.0,111.6,1133,1435.0,43329,909316.7626509038
개봉3동,구로구,3318.0,5140,1324.0,579.0,112.7,1012,906.0,27484,603237.0625986131
오류1동,구로구,3901.0,5311,1091.0,686.0,141.1,1121,982.0,37192,626331.7715698534
오류2동,구로구,6578.0,11610,2105.0,987.0,76.1,1573,2021.0,9968,1402738.3480800274
수궁동,구로구,5155.0,5839,1163.0,699.0,100.4,1272,1204.0,9708,680056.2123451176
신도림동,구로구,6343.0,10788,1981.0,501.0,59.3,2835,974.0,25988,1017146.4756803457
구로1동,구로구,3282.0,6598,1245.0,270.0,52.1,626,509.0,22201,601713.7366829601
구로2동,구로구,4825.0,5819,1576.0,1383.0,173.9,7912,1411.0,21064,965162.9788086849
구로3동,구로구,3299.0,7625,2004.0,648.0,96.8,6881,870.0,27530,719771.4951460727
구로4동,구로구,3582.0,5664,1647.0,1011.0,152.5,2023,1234.0,62285,720968.3940797999
구로5동,구로구,4914.0,8377,1869.0,731.0,105.5,4857,1107.0,34047,916443.7517562804
